,G,RES,SA
19,"(0.5185771927019341, 'POS')","(0.40924544810779045, 'POS')","(-0.95827525, 'VN')"
20,"(0.15362304149736733, 'NTR')","(0.1864282002300546, 'NTR')","(0.04209281666666665, 'NTR')"
21,"(0.0861092969765519, 'NTR')","(-0.011250548875261885, 'NTR')","(-0.11057822222222223, 'NTR')"
22,"(0.35228274740605453, 'SP')","(-0.14598162297832795, 'NTR')","(-0.030946405, 'NTR')"
23,"(-0.874086295158527, 'VN')","(0.3079235691836362, 'POS')","(-0.13182130357142857, 'NTR')"
24,"(-0.3837563642255304, 'SN')","(0.0065584277834364125, 'NTR')","(-0.06415895, 'NTR')"
25,"(-0.9902157849835128, 'VN')","(-0.753897771854757, 'NEG')","(-0.2948884846153846, 'SN')"
26,"(-0.9980431279203467, 'VN')","(-0.9273538591665699, 'NEG')","(-0.2629780892857143, 'SN')"
27,"(-0.9992181852626774, 'VN')","(-0.798436432707491, 'NEG')","(-0.42457729166666663, 'SN')"
28,"(0.7440515732765627, 'POS')","(0.3079235691836362, 'POS')","(-0.022835528571428575, 'NTR')"
29,"(0.059158812761803264, 'NTR')","(0.1474068106664185, 'NTR')","(-0.29324669545454546, 'SN')"
30,"(-0.08142909355312036, 'NTR')","(0.6287870976950406, 'POS')","(0.1010685, 'NTR')"
31,"(-0.6681364411054588, 'NEG')","(0.40924544810779045, 'POS')","(-0.6480035500000001, 'NEG')"
32,"(0.9963321871132321, 'VP')","(-0.798436432707491, 'NEG')","(-0.13079092727272726, 'NTR')"
33,"(-0.3347173941490007, 'SN')","(0.1864282002300546, 'NTR')","(0.3307445, 'SP')"
34,"(0.15362304149736733, 'NTR')","(0.1864282002300546, 'NTR')","(0.04209281666666665, 'NTR')"
35,"(0.8035178972523924, 'VP')","(0.9335981500171932, 'POS')","(-0.21631615312499997, 'SN')"
36,"(-0.8743737767869505, 'VN')","(-0.08660346491479495, 'NTR')","(0.43900325000000007, 'SP')"
37,"(0.2829996303171568, 'SP')","(0.04282439056027565, 'NTR')","(0.0019991333333333502, 'NTR')"
38,"(0.773998073322635, 'VP')","(0.0065584277834364125, 'NTR')","(-0.42946683214285725, 'SN')"
39,"(0.2657968343476239, 'SP')","(-0.006602192214126525, 'NTR')","(-0.12114244444444444, 'NTR')"
