,G,MLP,RES,SA,date
161,0.9658278363699436,0.8385111689567566,NEG,-0.21047630769230766,2018-01-19 23:00:00
162,0.4072480752936424,0.0,NTR,-0.10722848461538459,2017-11-07 23:00:00
163,0.9960321782069371,0.3007063865661621,POS,-0.19242292,2017-12-07 23:00:00
164,0.3243860848825032,0.644822359085083,NTR,0.14846803749999998,2017-08-11 23:00:00
165,-0.4040558576142904,0.05666245520114899,NTR,-0.22135421312499995,2017-10-27 23:00:00
166,0.05486931190287076,0.0,NTR,-0.030850163636363646,2017-08-25 23:00:00
167,0.9874187707434806,0.0,NEG,-0.1263670588235294,2018-02-08 23:00:00
168,-0.8838248851875545,0.0,NEG,-0.45215800000000006,2018-01-06 23:00:00
169,0.20625152775294353,0.89061039686203,POS,-0.10893687500000003,2018-01-03 23:00:00
170,-0.12787234390240113,0.0,NTR,0.05410090500000003,2017-08-27 23:00:00
171,0.5353335929190064,0.362868070602417,NTR,-0.161702125,2017-11-22 23:00:00
172,-0.30907815111808595,0.5944375991821289,POS,-0.2596243,2017-11-14 23:00:00
173,-0.4276131202068274,0.31382328271865845,POS,-0.3439944333333333,2017-07-15 23:00:00
174,-0.9992181852626774,0.0,NEG,-0.42457729166666663,2017-12-22 23:00:00
175,-0.012853837475823658,0.0,NTR,-0.15476975000000004,2017-10-05 23:00:00
176,-0.04828270795055619,0.9479753375053406,NTR,-0.1171755625,2017-08-29 23:00:00
177,0.49112984213563693,0.8933216333389282,NTR,-0.43060049999999994,2017-11-05 23:00:00
178,0.2872731689815055,0.0,NTR,0.08046881538461538,2017-10-26 23:00:00
179,-0.5144085405292744,0.0,NTR,-0.027045150000000018,2017-10-23 23:00:00
180,-0.3347173941490007,0.0,NTR,0.3307445,2017-09-16 23:00:00
181,0.9693373047522408,0.0,POS,-0.059745219444444456,2018-02-27 23:00:00
182,-0.7493256074299879,0.23986439406871796,NTR,-0.28550400000000004,2017-09-02 23:00:00
183,-0.8780710779304325,0.0,NEG,-0.2571829705882353,2018-03-07 23:00:00
184,0.3594856615734982,0.13878858089447021,NTR,-0.10070838000000001,2017-11-21 23:00:00
185,0.6321901315593423,0.0,NTR,-0.2430100666666667,2017-09-05 23:00:00
186,-0.47814030539041136,0.0,POS,-0.28053149666666655,2018-03-02 23:00:00
187,0.4266297527536066,1.0,NTR,-0.1585468392857143,2017-09-12 23:00:00
188,0.7577895946137368,0.0,NTR,-0.06323383357142857,2017-11-24 23:00:00
189,-0.44793223804959775,0.0,NTR,0.04938682333333333,2017-10-03 23:00:00
190,0.7900127991278879,0.0,POS,-0.5709695,2017-11-25 23:00:00
191,0.3639966836608049,0.299765408039093,NTR,-0.10733002307692306,2017-10-06 23:00:00
192,0.10005846693932995,0.0,NTR,-0.48812600000000006,2018-03-10 23:00:00
193,0.951176974663637,0.8803365230560303,POS,0.0311943,2018-02-17 23:00:00
194,-0.999998188371683,0.0,POS,-0.08772979999999997,2017-12-08 23:00:00
195,-0.7574124145756046,0.0,POS,-0.09448916666666667,2017-12-10 23:00:00
196,-0.13513059952065876,0.0,NTR,0.0104567,2017-11-19 23:00:00
197,0.08795673421188106,0.43578875064849854,NTR,-0.21002324499999997,2017-07-14 23:00:00
198,-0.5144085405292744,0.0,NTR,-0.027045150000000018,2017-10-23 23:00:00
199,0.3243860848825032,0.644822359085083,NTR,0.1484680333333333,2017-08-11 23:00:00
200,-0.999998188371683,0.0,POS,-0.08772979999999997,2017-12-08 23:00:00
201,0.4266297527536066,1.0,NTR,-0.1585468392857143,2017-09-12 23:00:00
202,0.9751815427216611,0.2176802009344101,POS,-0.12489148846153848,2017-11-13 23:00:00
203,0.7603077478951924,0.0,POS,-0.04705284233333334,2017-11-02 23:00:00
204,-0.39443551860836157,0.0,NTR,0.17557732500000006,2017-09-24 23:00:00
205,0.20625152775294353,0.89061039686203,POS,-0.10893681250000002,2018-01-03 23:00:00
206,-0.15147833834869864,0.0,NTR,0.121352825,2017-07-29 23:00:00
207,-0.25118079812671446,0.0,NTR,-0.04229368333333335,2017-10-04 23:00:00
208,-0.9902157849835128,0.8223164677619934,NEG,-0.2948884846153846,2018-02-02 23:00:00
209,-0.2749865487013602,0.0,NTR,-0.391655025,2017-08-06 23:00:00
210,0.24978867625608986,0.0,NTR,-0.08908695000000001,2017-10-11 23:00:00
211,-0.059096095730510494,0.0,NTR,-0.00964643375000001,2017-10-09 23:00:00
212,0.7567378329991028,0.0,POS,0.15551519333333338,2017-11-28 23:00:00
213,0.08795673421188106,0.43578875064849854,NTR,-0.21002334499999997,2017-07-14 23:00:00
214,-0.8513776680513344,0.0,NEG,-0.33557869615384617,2018-01-10 23:00:00
215,-0.44793223804959775,0.0,NTR,0.04938682249999999,2017-10-03 23:00:00
216,0.0861092969765519,0.6027992367744446,NTR,-0.11057822222222223,2017-10-02 23:00:00
217,-0.6205054490319654,0.8168419003486633,NEG,0.8008114,2018-03-04 23:00:00
218,-0.4040558576142904,0.05666245520114899,NTR,-0.22135421218749998,2017-10-27 23:00:00
219,-0.8838248851875545,0.0,NEG,-0.45215800000000006,2018-01-06 23:00:00
220,-0.8004955050774704,0.0,POS,-0.013712435,2018-02-10 23:00:00
221,0.03218468440682969,0.0,NTR,-0.00040478214285714117,2017-11-06 23:00:00
222,-0.4040558576142904,0.05666245520114899,NTR,-0.22135421218749998,2017-10-27 23:00:00
223,-0.7119452389579859,0.0,NTR,0.252145875,2017-10-18 23:00:00
224,0.9874187707434806,0.0,NEG,-0.12636705588235292,2018-02-08 23:00:00
225,0.3105068952240469,0.0,NTR,0.12458282083333333,2017-09-07 23:00:00
226,0.773998073322635,0.0,NTR,-0.42946683214285725,2018-03-12 23:00:00
227,-0.9970497150690366,0.0,POS,-0.15745896666666667,2018-01-04 23:00:00
228,0.9989192692069162,0.0,POS,-0.20959132954545454,2018-01-05 23:00:00
229,0.39061763556273454,0.0,NTR,-0.16389111666666667,2017-08-07 23:00:00
230,-0.9175836851640615,0.0,POS,0.009496375000000007,2018-02-22 23:00:00
231,0.6321901315593423,0.0,NTR,-0.2430100666666667,2017-09-05 23:00:00
232,0.4266297527536066,1.0,NTR,-0.1585468392857143,2017-09-12 23:00:00
233,0.4072480752936424,0.0,NTR,-0.10722852307692309,2017-11-07 23:00:00
234,0.14426617544640782,0.6543530821800232,POS,-0.2009965,2018-03-17 23:00:00
235,-0.9981272584769729,1.0,NEG,-0.14672813461538461,2018-01-11 23:00:00
236,-0.979881276442276,0.0,POS,-0.123345,2017-12-24 23:00:00
237,-0.9904312916081304,1.0,NEG,-0.107465032,2018-02-01 23:00:00
238,0.0720163690003433,0.9443745613098145,NEG,-0.08987741000000002,2018-01-22 23:00:00
239,0.9053356081158516,0.5082331895828247,NTR,-0.014688379166666677,2017-10-12 23:00:00
240,-0.9585521380574903,0.08304727077484131,NEG,-0.11342461764705881,2018-01-09 23:00:00
241,-0.1997357825225316,0.0,NTR,0.4976303625,2017-10-07 23:00:00
242,0.7382259239506719,1.0,NEG,-0.202641059375,2018-03-08 23:00:00
243,0.8035986663930496,0.0,NTR,-0.3077905,2017-08-05 23:00:00
244,0.9279459845121667,1.0,POS,-0.5536610894117646,2018-02-23 23:00:00
245,0.48971603166277017,0.931137204170227,NTR,-0.06400951428571429,2017-08-23 23:00:00
246,0.08795673421188106,0.43578875064849854,NTR,-0.21002324499999997,2017-07-14 23:00:00
247,0.474502878790201,0.0,POS,-0.09491463181818176,2017-12-05 23:00:00
248,-0.9992181852626774,0.0,NEG,-0.42457725,2017-12-22 23:00:00
249,0.9960321782069371,0.3007063865661621,POS,-0.19242292,2017-12-07 23:00:00
250,0.188238654078594,0.0,POS,-0.01598785,2017-10-30 23:00:00
251,0.9055633922453431,0.8932416439056396,NEG,-0.140593,2018-02-03 23:00:00
252,0.18544731987027194,0.0,POS,-0.1450438533333333,2018-03-19 23:00:00
253,-0.18875528565335212,0.0,POS,0.0030470394999999708,2017-07-21 23:00:00
254,-0.909676090210708,0.6221289038658142,NTR,-0.2519784666666666,2017-09-15 23:00:00
255,0.6321901315593423,0.0,NTR,-0.2430100666666667,2017-09-05 23:00:00
256,0.15362304149736733,0.5878415107727051,NTR,0.04209281666666665,2017-09-20 23:00:00
257,0.5899861061974444,0.0,NTR,-0.33681763226875,2017-11-08 23:00:00
258,0.9972743853358756,0.0,POS,-0.25306393235294117,2017-11-29 23:00:00
259,-0.9981272584769729,1.0,NEG,-0.14672813461538461,2018-01-11 23:00:00
260,0.9748707016228239,0.5287206768989563,NEG,-0.12634136818181818,2018-01-12 23:00:00
261,0.14220446592928696,0.0,NTR,0.06475696666666667,2017-09-28 23:00:00
262,-0.8780710779304325,0.0,NEG,-0.2571829705882353,2018-03-07 23:00:00
263,0.2012768272012329,0.7635019421577454,POS,-0.030355076923076898,2017-10-31 23:00:00
264,-0.059096095730510494,0.0,NTR,-0.009646434375000006,2017-10-09 23:00:00
265,0.10432808515486466,0.9431431889533997,NTR,0.10271566666666668,2017-08-03 23:00:00
266,0.3076036918928092,1.0,NTR,-0.545838,2017-10-21 23:00:00
267,0.14220446592928696,0.0,NTR,0.06475697083333333,2017-09-28 23:00:00
268,0.9053356081158516,0.5082331895828247,NTR,-0.014688379166666677,2017-10-12 23:00:00
269,-0.29410544607207106,0.0,POS,-0.20845149375,2017-12-27 23:00:00
270,-0.048279917268274096,0.0,NTR,0.166407,2017-07-24 23:00:00
271,0.3594856615734982,0.13878858089447021,NTR,-0.10070838000000001,2017-11-21 23:00:00
272,0.36546992524086946,0.34726816415786743,NTR,-0.060773564285714295,2017-10-19 23:00:00
273,-0.6357076581453969,0.0,NTR,-0.776542,2017-10-22 23:00:00
274,0.3111234773370533,0.0,NTR,-0.07380510500000001,2017-08-10 23:00:00
275,-0.012853837475823658,0.0,NTR,-0.15476975000000004,2017-10-05 23:00:00
276,0.9912939857808762,0.0,POS,-0.33949039166666667,2017-12-15 23:00:00
277,-0.5826022015186707,0.0,NTR,0.03233341666666665,2017-07-25 23:00:00
278,0.8035986663930496,0.0,NTR,-0.3077905,2017-08-05 23:00:00
279,-0.979881276442276,0.0,POS,-0.123345,2017-12-24 23:00:00
280,0.440519754738427,0.0,NTR,0.24916573636363634,2017-08-17 23:00:00
281,0.367751950312111,0.0,POS,0.13743509999999998,2017-07-17 23:00:00
282,0.12787371963435645,0.0,NTR,-0.02727575666666665,2017-10-24 23:00:00
283,-0.08142909355312036,0.0,POS,0.1010685,2018-02-25 23:00:00
284,-0.4002807631833294,0.0,NEG,-0.1480882,2018-01-30 23:00:00
285,-0.9996836668080686,0.0,POS,-0.3958559166666667,2017-12-28 23:00:00
286,-0.4276131202068274,0.31382328271865845,POS,-0.3439944333333333,2017-07-15 23:00:00
287,-0.15147833834869864,0.0,NTR,0.121352825,2017-07-29 23:00:00
288,-0.08643829832865436,0.0,NTR,0.4455116666666667,2017-10-01 23:00:00
289,0.9419272617434887,0.8940174579620361,NEG,-0.1756650247058824,2018-01-31 23:00:00
290,-0.7819710582517618,0.0,POS,-0.01728917083333333,2017-12-31 23:00:00
291,-0.8090152020521973,0.269700825214386,NTR,-0.42576742857142863,2017-08-15 23:00:00
292,-0.6582854187346404,0.0,NTR,-0.4568157821428572,2017-11-09 23:00:00
293,0.9285144397356346,1.0,POS,-0.21862880250000005,2018-02-19 23:00:00
294,-0.6582854187346404,0.0,NTR,-0.4568158535714285,2017-11-09 23:00:00
295,0.9279459845121667,1.0,POS,-0.5536610894117646,2018-02-23 23:00:00
296,-0.12787234390240113,0.0,NTR,0.05410090500000003,2017-08-27 23:00:00
297,-0.9996836668080686,0.0,POS,-0.39585608333333333,2017-12-28 23:00:00
298,0.3594856615734982,0.13878858089447021,NTR,-0.10070843000000003,2017-11-21 23:00:00
299,0.9211636290900144,0.0,POS,0.02284164999999999,2017-11-03 23:00:00
300,-0.8743737767869505,0.12333202362060547,NTR,0.43900325000000007,2017-10-15 23:00:00
301,-0.9995138033304031,0.42276644706726074,NEG,-0.16843881153846146,2018-01-26 23:00:00
302,-0.29410544607207106,0.0,POS,-0.20845149375,2017-12-27 23:00:00
303,-0.6357076581453969,0.0,NTR,-0.776542,2017-10-22 23:00:00
304,0.9972743853358756,0.0,POS,-0.25306393235294117,2017-11-29 23:00:00
305,-0.632408385244389,0.0,NTR,-0.12824783,2017-09-10 23:00:00
306,0.9102595448942654,0.7360467314720154,POS,0.508049,2017-12-03 23:00:00
307,0.7065328091160772,0.0,POS,-0.10029111250000002,2018-02-15 23:00:00
308,0.2657968343476239,0.0,NTR,-0.1211424388888889,2017-08-24 23:00:00
